id,nom,desserte,pmr,ascenseur,escalator,gid,coordinates0,coordinates1,commune_gid
39383,Etats-Unis Viviani,T4,true,false,false,629,45.724906380553186,4.871142379899854,85
877,Etoile d'Alai,73,true,false,false,1397,45.75339223967189,4.769140352440663,134
46613,Eurexpo,BGS2,false,false,false,11481,45.7323851618132,4.949313250360678,169
46614,Eurexpo,BGS2,false,false,false,11482,45.73433218231983,4.947020175992581,169
884,Eurexpo Entree Princ.,N100,true,false,false,11352,45.73119608688034,4.949311945977355,169
45268,Eurexpo Entree Princ.,T5,true,false,false,10587,45.732063054909155,4.947949467373498,169
40174,Europa,C25 & ZI1,true,false,false,4580,45.68115612010255,4.933441735720961,129
40175,Europa,C25 & ZI1,true,false,false,4579,45.68117753350547,4.933508238580256,129
32174,Europe - Universite,T2,true,false,false,489,45.7195915165228,4.918179239829337,172
32175,Europe - Universite,T2,true,false,false,490,45.7196543260123,4.918144918060771,172
885,Evellier,C24E,true,false,false,1399,45.74893180277252,4.694497995217086,58
886,Evellier,C24E,true,false,false,1398,45.748987093916135,4.694659528510631,58
12017,Fabregue,S10,false,false,false,3190,45.798902701219525,4.82414724163133,21
887,Falsan,31 & S10,true,false,false,1400,45.80448484932576,4.834631572643572,183
30561,Falsan,31 & S10,false,false,false,10727,45.80446180681862,4.83466797806115,183
38116,Fauconnet,45,true,false,false,4497,45.75013177927825,4.789092054807881,82
11060,Fayolle,20 & 71,true,false,false,3594,45.802334270290935,4.820390123684873,183
47201,Fayolle,20 & 71,true,false,false,9286,45.80120989932133,4.820012970303928,183
41819,Fayolle,S7,false,false,false,10562,45.80194592326998,4.819952006141874,183
47065,Fee des Eaux,15E & 18,false,false,false,9950,45.65008965720405,4.802225461388136,146
901,Felix Faure Vivier Merle,C11,true,false,false,9414,45.7535964906293,4.858989502981674,81
902,Felix Faure Vivier Merle,C11,true,false,false,768,45.75362866181828,4.858759526439687,81
899,Felix Faure Vivier Merle,C7,true,false,false,766,45.75404664785985,4.859153512274576,81
900,Felix Faure Vivier Merle,C7,true,false,false,767,45.753960651306315,4.859459459223596,81
903,Felix Jacquier,27 & C6,true,false,false,1404,45.772965552153515,4.848622710018608,86
904,Felix Jacquier,27 & C6,true,false,false,1403,45.77287529716852,4.847023593570009,86
1967,Fenelon,95,true,false,false,2180,45.77432550229607,5.018317472639296,179
47409,Fenelon,95 & ZI2,false,false,false,9971,45.775027894216926,5.018967021534516,179
10327,Ferrandiere,C9,true,false,false,3385,45.7596136350777,4.873578393497182,81
10328,Ferrandiere,C9,true,false,false,3384,45.75966800029526,4.873144306904832,81
45471,Ferroussat,12,false,false,false,5003,45.72164718836517,4.767840592702493,44
47231,Ferroussat,12,false,false,false,9216,45.72139164802661,4.767936352721965,44
12053,Ferroux,20 & S7,false,false,false,3212,45.81666186122662,4.813970213715815,183
907,Feuillat - Albert Thomas,C16,true,false,false,1406,45.74462920665262,4.874664337284153,85
908,Feuillat - Albert Thomas,C16,true,false,false,1405,45.74419620957594,4.87509176571226,85
913,Feuillat - Lacassagne,25 & C13,true,false,false,1410,45.74960012210692,4.876055304507723,85
912,Feuillat - Lacassagne,25 & C13 & C16,false,false,false,1409,45.75013667902249,4.875108669638037,85
910,Feuillat Freres Lumiere,C16,true,false,false,1407,45.74330109690622,4.874471952263252,85
911,Feuillat Freres Lumiere,C16,true,false,false,1408,45.74341133257352,4.873975648116254,85
914,Feyzin Chateau de l'Isle,60,false,false,false,1412,45.67222158564149,4.850346776156129,177
33565,Feyzin Chateau de l'Isle,60,false,false,false,1411,45.67215029988407,4.850715863999598,177
39034,Feyzin Gare,60 & GE2,true,false,false,1414,45.66555390950928,4.853457434023096,177
39035,Feyzin Gare,60 & GE2,true,false,false,1413,45.665865460427966,4.853612882069402,177
918,Feyzin Les Razes,60 & 6,false,false,false,1415,45.66620155988344,4.849288497467978,177
40114,Feyzin Mairie,39,true,false,false,4576,45.669980530032205,4.859950691659506,177
39960,Feyzin Mairie,39 & 6,true,false,false,4575,45.67020532877888,4.859960987644897,177
34314,Feyzin Oasis,39,true,false,false,3951,45.68111061190893,4.86676149162,177
