properties/id;properties/nom;properties/desserte;properties/pmr;properties/ascenseur;properties/escalator;properties/gid;properties/last_update;properties/last_update_fme;geometry/type;geometry/coordinates/0;geometry/coordinates/1
269;Brossolette-Genas;24A:A,25A:A,52A:R;true;false;false;9260;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.74841003480584;4.918121264869042
276;Brotteaux;328A:A,70A:A,C1A:A,C2A:A,C6C:A,PL1A:A;true;false;false;14;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.766863990791784;4.859269265455541
281;Brotteaux;328A:R,70A:R,C1A:R,C2A:R,C6C:R;true;false;false;15;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.76666296008211;4.859138505490405
285;Bruyeres;16A:A;true;false;false;984;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.762951273734124;4.941277381505705
286;Bruyeres;16A:R;true;false;false;985;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.76291804008829;4.941545888576345
288;Buers - Pressense;C17A:R;true;false;false;987;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.77012282858799;4.896427241296696
289;Buers - Salengro;37A:A;true;false;false;988;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.78259572561982;4.890183158557889
290;Buers - Salengro;37A:R,C17A:R;true;false;false;989;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.782626054311436;4.88964100523927
291;Bugeaud;38B:A;true;false;false;990;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.767038307672834;4.852840704521174
296;Mions Buzy;62A:R,87A:R;false;false;false;994;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.669269354436885;4.959163093477011
306;College Louis Aragon;54A:A;true;false;false;996;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.69304256054956;4.890093510907609
307;College Louis Aragon;54A:R;true;false;false;995;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.69372253551926;4.889978355517085
310;Claude Joseph Bonnet;2A:R,C18A:A;true;false;false;997;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.77489077355304;4.821157528473235
311;Charles Perrault;69A:A;true;false;false;1000;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.77125725663534;4.890039417247068
312;Charles Perrault;69A:R;true;false;false;999;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.771246919668144;4.889999191621256
313;Cailloux Bellevue;77A:A,77A:R;false;false;false;1001;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.853865354663114;4.867473157466643
314;Cailloux Bellevue;77A:A,77A:R;false;false;false;1002;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.853832694329896;4.867508495125014
315;Cailloux Centre;77A:A,77A:R;false;false;false;1003;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.8548803159213;4.871399126178727
316;Cailloux Centre;77A:A,77A:R;false;false;false;1004;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.85473080051808;4.870796170305275
317;Cailloux Chateau;77A:A,77A:R;false;false;false;1005;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.84848914052915;4.869761193497651
318;Cailloux Chateau;77A:A,77A:R;false;false;false;1006;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.848779500463756;4.870057957453781
319;Cailloux La Croix;77A:A,77A:R;true;false;false;1008;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.853141356817325;4.865029113095482
320;Cailloux La Croix;77A:A,77A:R;false;false;false;1007;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.85268970453708;4.864699167110083
321;Cailloux Mairie;77A:A,77A:R;false;false;false;1009;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.85187770582967;4.871579148028858
322;Cailloux Mairie;77A:A,77A:R;false;false;false;1010;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.85223071219028;4.872291041286133
323;Mermoz - Californie;C15A:R;true;false;false;1011;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.73358329477708;4.878374376519849
325;Mermoz - Californie;C15A:A,PL2A:A;true;false;false;9757;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.73347596444967;4.878260676894259
328;Caluire Centre;33A:R,38B:R,S5A:R;true;false;false;9758;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.79903581271503;4.848166040817118
329;Caluire Centre;33A:A,38B:A,S5A:A;true;false;false;1019;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.799796743523416;4.847620017893752
333;Caluire Place Foch;70A:R,9B:R,C1A:R,C2A:R;true;false;false;1022;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.79761897010408;4.851885347735748
334;Caluire Place Foch;70A:A,9B:A,C1A:A,C2A:A;true;false;false;1023;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.79784664998;4.851767076904056
